344,magazine/344.jpg,특집기사,블루리본서베이 선정 - 부산의 맛집 100선 ② by 부산관광공사×블루리본서베이,블루리본서베이에서 선정한 부산의 맛집 100 군데로 미식여행을 떠나보세요. 부산의 맛집 100군데를 여섯 가지 테마에 맞게 분류한 식당과 카페 리스트를 소개해드립니다.
342,magazine/342.jpg,공지사항,<전국의 맛집 2023> 서평단을 모집합니다!,국내 최고의 맛집 평가서 <전국의 맛집 2023> 서평단에 많은 지원 바랍니다!
341,magazine/341.jpg,레스토랑 & 카페,2023년 전국 최고의 맛집 ① : 블루리본 2개를 받은 전국 맛집-광역시 편,<전국의 맛집 2023>에 수록된 리본 2개 맛집 135곳 중 광역시에서 리본 2개를 받은 42개의 식당을 소개해드립니다.
340,magazine/340.jpg,블루리본 소식,블루리본서베이 선정 - 부산의 맛집 100선 ① by 부산관광공사×블루리본서베이,"미식의 뉴 웨이브, 부산의 맛집 100 군데로 미식여행을 떠나보세요. 여섯 가지 테마에 맞는 식당과 카페를 소개해드릴 예정입니다."
339,magazine/339.jpg,인플루언서 칼럼,특색 있는 콘셉트를 선보이는 5월의 신규 업장: 뉴테이스트 by 김혜준 푸드 콘텐츠 디렉터,"외식업에 뛰어드는 연령대가 다양해지며, 명확한 정체성과 콘셉트의 브랜드들이 등장한다. 공간에 색을 입히고, 무엇을 파는 지에 대한 스토리를 디자인과 콘셉트로 표현한다. 5월에는 특색 있는 콘셉트의 신규 업장을 소개한다."
338,magazine/338.jpg,블루리본 소식,<삼성생명×블루리본 Let's 건강맛집> 방문 인증 챌린지에 참여하세요!,삼성생명에서 5월부터 ’더헬스앱(THE Health)‘을 통해 삼성생명&블루리본 건강맛집 방문 인증 챌린지 이벤트를 진행하고 있습니다
337,magazine/337.jpg,블루리본 소식,<블루리본서베이: 전국의 맛집 2023>이 출간되었습니다,"올해에도 독자 여러분의 평가에 따라 선정된 3,489개의 전국 맛집을 책 한 권에서 만나보실 수 있습니다. 2023년 판에서는 3만 명이 넘는 독자가 맛집 평가에 참여한 결과 리본 두 개 맛집은 135곳, 리본 한 개 맛집은 1,406곳입니다. 새로운 식당과 리본을 받은 맛집 등의 풍부한 미식 정보로 독자 여러분들의 기대감을 충족시켜줄 것입니다."
336,magazine/336.jpg,블루리본 소식,<삼성생명×블루리본 Let's 건강맛집 핸드북>이 발간되었습니다.,<블루리본 서베이>는 <삼성생명>과의 'Let’s 건강맛집' 프로젝트 협업을 통해 지난 18일 ‘Let’s 건강맛집 핸드북’을 발간하였다.
335,magazine/335.jpg,인플루언서 칼럼,4월의 커피 트렌드 by 심재범,"스페인 스페셜티 커피인 쓰리막스를 들여온 <키헤이 커피>, 정통 스페셜티 커피인 <피어커피>의 코엑스점, 상반기 최고의 커피 전시회 <커피 엑스포>, 제주에서 열리는 첫 번째 전국 단위 커피 축제인 <코리아 커피 위크>를 소개한다."
334,magazine/334.jpg,인플루언서 칼럼,"역사, 문화, 경제의 중심지, 전주 - 류크와 함께하는 남쪽나라 1박 2일","한옥마을, 풍남문, 경기전, 전라감영 등등 문화유산도 많이 남아 있어 관광지로 각광받고 있는 전주의 맛을 이야기한다."
